country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,2021-01-10,0.0,0.0,,,,0.0,0.0,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-11,,,,,64.0,,,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-12,128.0,128.0,,,64.0,0.0,0.0,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-13,188.0,188.0,,60.0,63.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-14,266.0,266.0,,78.0,66.0,0.01,0.01,,23.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-15,308.0,308.0,,42.0,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-16,369.0,369.0,,61.0,62.0,0.01,0.01,,22.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-17,405.0,405.0,,36.0,58.0,0.01,0.01,,20.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-18,447.0,447.0,,42.0,55.0,0.02,0.02,,19.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-19,483.0,483.0,,36.0,51.0,0.02,0.02,,18.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-20,519.0,519.0,,36.0,47.0,0.02,0.02,,16.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-21,549.0,549.0,,30.0,40.0,0.02,0.02,,14.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
Albania,ALB,2021-01-22,,,,,34.0,,,,12.0,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-800-te-vaksinuar-2714-testime-640-te-sheruar-764-raste-te-reja-dhe-20-humbje-jete-ne-24-oret-e-fundit/
